LCSC,rotation,evidence,polarity
C7519,270,"SOT-23-6 part; usb-hub-3s-v3 U8, U9, U10, U12. Measured 2026-07-26 post-3bf6cb8: PAD-NUMBER fit offset 270, rms 0.0125mm vs 1.9544mm next best over 6 pads (156x). Statistics identical to C473910 for the legitimate reason recorded in that row -- SAME JLC land SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL, same footprint on our side, so it is the same arithmetic twice; confirmed by diffing the two cached footprint files directly, which return identical pad geometry. DECLARED single-channel for the same reason (3+3 land is its own 180 reflection). Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE. NB U12 is the part whose 5.25V rating the R42 trim study was about -- getting its ORIENTATION right is separate from and additional to that voltage question.",single-channel
C503996,0,"USB-A vertical through-hole receptacle; usb-hub-3s-v3 J2, J3, J4 -- the three downstream host ports. Measured 2026-07-26: PAD-NUMBER fit offset 0, rms 0.0000mm EXACT vs 3.6401mm next best. NUMBERING-FREE CHANNEL: the shell / mounting-tab pads (unnumbered on our side, excluded from the fit on both) corroborate 0 without reading a contact number, and the 4-contact row is not its own reflection against the tab positions. board_rot => correct CPL 0.0.",two-channel
C5337088,0,"USB-C 12-position SMD receptacle TYPE-C-31-M-12A; usb-hub-3s-v3 J5 -- the Pi-facing power output. Measured 2026-07-26: PAD-NUMBER fit offset 0, rms 0.0000mm EXACT vs 1.6202mm next best over 18 pads. NUMBERING-FREE CHANNEL: the four shell-post pads by SIZE CLASS (no pad number read) are self-consistent at 0 and contradict themselves at 180, the same discriminator that decided crow-recorder-central-v2's C3020560 -- and unlike that part the numbered fit here AGREES, because this vendor land numbers the signal contacts rather than the posts. board_rot => correct CPL 0.0. This is the connector whose delivered voltage the ORDER_README Q2/Q5 bench gates measure at the CABLE END.",two-channel
C6186,180,"AMS1117-3.3 LDO in SOT-223; smc0985-cooksense U_LDO. Measured 2026-07-26 against JLC's SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR with the pcbnew-verified operator. PAD-NUMBER fit: offset 180, rms 0.1559mm vs 4.3986mm next best over 4 pads (28x). NUMBERING-FREE CHANNEL: the PAD CLOUD is DECISIVE here rather than degenerate -- 0.1559mm at 180 vs 2.1870mm next (14x) -- because a SOT-223 land is three small pads on one side and one large TAB on the other, so its arrangement is NOT its own 180 reflection and the size classes discriminate without reading a pad number. Both channels agree at 180. This is one of only two cooksense codes in this batch where a numbering-free channel actually resolves.",two-channel
C8185,180,"SN74LVC1G00 single NAND in SOT-353 / SC-70-5; smc0985-cooksense U_LATCHA. Measured 2026-07-26 against JLC's SOT-353_L2.1-W1.3-P0.65-LS2.3-BR with the pcbnew-verified operator. PAD-NUMBER fit: offset 180, rms 0.0024mm vs 1.4236mm next best over 5 pads (593x). NUMBERING-FREE CHANNEL: the PAD CLOUD is DECISIVE -- 0.0024mm at 180 vs 0.4387mm next (183x) -- because a 3-plus-2 five-pad land is not its own reflection. Both channels agree at 180. Cross-check: cooksense's U_STOPINV is a different SOT-353 part that also fitted 180, and the board's SOT-23-6 safety chain (C22046) fitted 180 on all ten refs.",two-channel
C113974,0,"SMBJ5.0A TVS (POLARIZED, 2-pad) in SMB; smc0985-cooksense D_TVS. Measured 2026-07-26. PAD-NUMBER fit: offset 0, rms 0.2100mm vs 3.1925mm next best (4.5100mm at 180) = 15.2x; the 0.2100mm residual IS the 0.21mm pad-centre pitch difference between our land and JLC's. The pad CLOUD is DEGENERATE (0.2100mm at BOTH 0 and 180 -- two identical pads), and the tool's pin-1-marking channel proposes 270 and is WRONG, which is exactly why a pin-1 dot is not admissible: it follows numbering. The CATHODE MARK, read as a SHAPE on both sides, is what carries this row: OURS Diode_SMD:D_SMB -- pad 1 at x=-2.150, F.SilkS bracket closed edge at x=-3.660, F.Fab diode glyph with its cathode BAR at x=-0.649 and the triangle APEX at x=-0.649 against a base at x=+0.501 (a diode triangle points at its cathode) => cathode -x. JLC SMB_L4.6-W3.6-LS5.3-RD -- pad 1 at x=-2.36, F.SilkS cathode band full-height at x=-1.020, filled cathode-end polygons spanning x=-2.668..-3.125 => cathode -x. BOTH WEST => offset 0, and the pad-number fit AGREES. INDEPENDENTLY CROSS-CHECKED: this is the SAME JLC land already measured on usb-hub-3s-v3 for C113976 and C83846, where pad 1 was also the cathode at x=-2.36 -- three codes, two boards, one land, one answer. UPGRADED from the tool's WITHHELD single-channel verdict, which reflects the tool having no cathode-mark channel rather than a property of the part.",two-channel
C8678,0,"SS34 Schottky rectifier (POLARIZED, 2-pad) in SMA; smc0985-cooksense D_KSTOP. Measured 2026-07-26. PAD-NUMBER fit: offset 0, rms 0.2000mm vs 2.9732mm next best (4.2000mm at 180) = 14.9x. The pad CLOUD is DEGENERATE (0.2000mm at BOTH 0 and 180), and the pin-1-marking channel proposes 270 and is WRONG -- not admissible, it follows numbering. The CATHODE MARK as a SHAPE decides: OURS Diode_SMD:D_SMA -- pad 1 at x=-2.000, silk bracket closed edge x=-3.510, F.Fab cathode BAR at x=-0.649 with the triangle APEX at (-0.649,+0.001) against a base at x=+0.501, cathode lead running to x=-1.551 => cathode -x. JLC SMA_L4.3-W2.6-LS5.2-RD -- pad 1 at x=-2.20, F.SilkS cathode band full-height at x=-0.880, filled cathode-end polygons x=-2.512..-2.973 => cathode -x. BOTH WEST => offset 0, pad-number fit AGREES. INDEPENDENTLY CROSS-CHECKED against crow-recorder-central-v2's C87074, the SAME JLC SMA land, which measured pad 1 = cathode at -x and offset 0. UPGRADED from the tool's WITHHELD single-channel verdict (no cathode-mark channel exists in the tool).",two-channel
C5158048,0,"PESD5V0S1BA ESD suppressor in SOD-323; smc0985-cooksense D_DOOR, D_ESD_IN, D_ESTOP, D_LCCLK, D_LCDAT. DECLARED n/a -- THE PART IS NOT POLARIZED, and this is now MANUFACTURER-CONFIRMED rather than inferred. Datasheet archived at 02_parts/PESD5V0S1BA/PESD5V0S1BA_2024-04-26.pdf (sha256-cached), section 5 Table 2 verbatim: pin 1 = K1 'cathode (diode 1)', pin 2 = K2 'cathode (diode 2)', graphic symbol sym045 = back-to-back zeners with NO ANODE PIN BROUGHT OUT; section 10: 'suitable on lines where the signal polarities are both positive and negative with respect to ground'. BOTH PINS ARE CATHODES, so a 180 rotation is electrically IDENTICAL and there is nothing for a human gate to confirm. This row was first landed 2026-07-26 as single-channel on purely geometric grounds (JLC land named ..._BI, silk drawing TWO triangles back to back with bases at x=-0.26 and x=+0.25 meeting near 0, pads 180-symmetric to 0.000mm at x=-1.20/+1.20) and DELIBERATELY not as n/a, because that reading came from a land name and a silk symbol and decoding a part-number suffix into a part fact is the error class this table exists to stop. The datasheet closed it; the geometry was right and the caution was still correct. TWO TRAPS RECORDED. (1) The same datasheet's SOD323 package outline carries 'Note 1. The marking bar indicates the cathode' -- shared-outline boilerplate that CANNOT distinguish an orientation on a part where BOTH pins are the cathode, and which would have manufactured a false polarity for anyone who read the outline page instead of Table 2. (2) The dossier's own pin map read 'pins: 1: K, 2: A', asserting an anode the part does not have; corrected to K1/K2. SEPARATE AND UNFIXED, carried to v1.4: our footprint Diode_SMD:D_SOD-323 draws a UNIDIRECTIONAL cathode band and diode glyph (F.Fab bar x=-0.649, apex -x) on all five refs, so our silk asserts a polarity the device does not have. Assembly risk is nil (JLC follows the CPL, not our silk); reviewer risk is real, because someone hand-matching a band against an unbanded part may 'correct' a placement that was already right. NOTE for the tool: jlc_twin's POLARITY-FIT graded this part OK and graded the two genuinely polarized rectifiers (C113974, C8678) BLIND -- inverted in both directions, from one cause: that channel looks for a pin-1 dot or an F.Fab chamfer, and a rectifier's cathode BAND is neither.",n/a
C10092,270,"SN74HC595 8-bit shift register in SOIC-16; smc0985-cooksense U_SR1 -- the keypad/interlock shift register. Measured 2026-07-26 against JLC's SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL with the pcbnew-verified operator, our side Package_SO:SOIC-16_3.9x9.9mm_P1.27mm. PAD-NUMBER fit: offset 270, rms 0.2650mm vs 5.5286mm next best (0/180 both 5.5286, 90 7.8141) = 20.9x. FOUR cooksense codes carry IDENTICAL statistics -- C10092, C133954, C16939, C5620 -- and that is legitimate, not transcription: all four resolve to the SAME JLC land and the SAME footprint on our side, so it is one measurement's arithmetic four times. VERIFIED 2026-07-26 by listing the four cached .kicad_mod basenames and our four board footprints, not by trusting the coincidence. DECLARED single-channel: a dual-row SOIC-16 land is its own 180 reflection, so the pad-cloud channel is DEGENERATE (0.2650mm at BOTH 90 and 270) and there is no size-class channel. The tool proposes 270 from the pin-1 marking and then REFUSES it in as many words -- 'pin-1 marking proposes 270 but is NOT a numbering-free channel' -- because a pin-1 dot FOLLOWS pad numbering and therefore cannot corroborate it. Per RULE 3 this row MUST be carried by the JLC ORDER-PREVIEW HUMAN GATE before the first order.",single-channel
C133954,270,"CD74HC221 dual monostable in SOIC-16; smc0985-cooksense U_ONESHOT -- the press-authorisation one-shot in the safety chain. Measured 2026-07-26 against JLC's SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL with the pcbnew-verified operator, our side Package_SO:SOIC-16_3.9x9.9mm_P1.27mm. PAD-NUMBER fit: offset 270, rms 0.2650mm vs 5.5286mm next best (0/180 both 5.5286, 90 7.8141) = 20.9x. FOUR cooksense codes carry IDENTICAL statistics -- C10092, C133954, C16939, C5620 -- and that is legitimate, not transcription: all four resolve to the SAME JLC land and the SAME footprint on our side, so it is one measurement's arithmetic four times. VERIFIED 2026-07-26 by listing the four cached .kicad_mod basenames and our four board footprints, not by trusting the coincidence. DECLARED single-channel: a dual-row SOIC-16 land is its own 180 reflection, so the pad-cloud channel is DEGENERATE (0.2650mm at BOTH 90 and 270) and there is no size-class channel. The tool proposes 270 from the pin-1 marking and then REFUSES it in as many words -- 'pin-1 marking proposes 270 but is NOT a numbering-free channel' -- because a pin-1 dot FOLLOWS pad numbering and therefore cannot corroborate it. Per RULE 3 this row MUST be carried by the JLC ORDER-PREVIEW HUMAN GATE before the first order.",single-channel
C16939,270,"MCP3208 12-bit ADC in SOIC-16; smc0985-cooksense U_ADC. Measured 2026-07-26 against JLC's SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL with the pcbnew-verified operator, our side Package_SO:SOIC-16_3.9x9.9mm_P1.27mm. PAD-NUMBER fit: offset 270, rms 0.2650mm vs 5.5286mm next best (0/180 both 5.5286, 90 7.8141) = 20.9x. FOUR cooksense codes carry IDENTICAL statistics -- C10092, C133954, C16939, C5620 -- and that is legitimate, not transcription: all four resolve to the SAME JLC land and the SAME footprint on our side, so it is one measurement's arithmetic four times. VERIFIED 2026-07-26 by listing the four cached .kicad_mod basenames and our four board footprints, not by trusting the coincidence. DECLARED single-channel: a dual-row SOIC-16 land is its own 180 reflection, so the pad-cloud channel is DEGENERATE (0.2650mm at BOTH 90 and 270) and there is no size-class channel. The tool proposes 270 from the pin-1 marking and then REFUSES it in as many words -- 'pin-1 marking proposes 270 but is NOT a numbering-free channel' -- because a pin-1 dot FOLLOWS pad numbering and therefore cannot corroborate it. Per RULE 3 this row MUST be carried by the JLC ORDER-PREVIEW HUMAN GATE before the first order.",single-channel
C5620,270,"SN74HC238 3-to-8 decoder in SOIC-16; smc0985-cooksense U_DECD. Measured 2026-07-26 against JLC's SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL with the pcbnew-verified operator, our side Package_SO:SOIC-16_3.9x9.9mm_P1.27mm. PAD-NUMBER fit: offset 270, rms 0.2650mm vs 5.5286mm next best (0/180 both 5.5286, 90 7.8141) = 20.9x. FOUR cooksense codes carry IDENTICAL statistics -- C10092, C133954, C16939, C5620 -- and that is legitimate, not transcription: all four resolve to the SAME JLC land and the SAME footprint on our side, so it is one measurement's arithmetic four times. VERIFIED 2026-07-26 by listing the four cached .kicad_mod basenames and our four board footprints, not by trusting the coincidence. DECLARED single-channel: a dual-row SOIC-16 land is its own 180 reflection, so the pad-cloud channel is DEGENERATE (0.2650mm at BOTH 90 and 270) and there is no size-class channel. The tool proposes 270 from the pin-1 marking and then REFUSES it in as many words -- 'pin-1 marking proposes 270 but is NOT a numbering-free channel' -- because a pin-1 dot FOLLOWS pad numbering and therefore cannot corroborate it. Per RULE 3 this row MUST be carried by the JLC ORDER-PREVIEW HUMAN GATE before the first order.",single-channel
C2653162,270,"MAX31856 thermocouple front-end in TSSOP-14; smc0985-cooksense U_TC. Measured 2026-07-26 against JLC's TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0625mm vs 4.4061mm next best (0/180 both 4.4061, 90 6.2309) = 70x. DECLARED single-channel: a dual-row TSSOP land is its own 180 reflection so the pad cloud is DEGENERATE at 90/270 and no size-class channel exists; the tool proposes 270 from the pin-1 marking and then refuses it, correctly, because a pin-1 dot follows pad numbering. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C2653844,0,"TPS259573 eFuse in WSON-8 2.0x2.0mm with exposed pad; smc0985-cooksense U_EFUSE. Measured 2026-07-26 against JLC's WSON-8_L2.0-W2.0-P0.50-TL-EP with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0000mm EXACT vs 1.4697mm next best (2.0785mm at 180). DECLARED single-channel, and this land is the strongest case for the declaration in the batch: BOTH numbering-free channels are FULLY DEGENERATE -- the size-class channel returns 0.0000mm at ALL FOUR angles and the pad cloud is degenerate 0-vs-180 -- because a symmetric dual-row WSON-8 with a centred exposed pad maps exactly onto itself under 180. The 0.0000mm EXACT pad-number fit is therefore a statement about LABELS only and carries no orientation information whatsoever. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C506653,270,"MCP23017 I2C GPIO expander in SSOP-28; smc0985-cooksense U_EXP. Measured 2026-07-26 against JLC's SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0403mm vs 6.1624mm next best (0/180 both 6.1624, 90 8.7149) = 153x. DECLARED single-channel: dual-row SSOP-28 is its own 180 reflection, pad cloud DEGENERATE at 90/270, no size-class channel, pin-1 marking not admissible. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C6820,270,"SN74HC14 hex Schmitt inverter in SOIC-14; smc0985-cooksense U_SCHM. Measured 2026-07-26 against JLC's SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.1450mm vs 5.0885mm next best (0/180 both 5.0885, 90 7.1948) = 35x. DECLARED single-channel: dual-row SOIC-14 is its own 180 reflection, pad cloud DEGENERATE at 90/270. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C7984,270,"LMV393 dual comparator in SOIC-8; smc0985-cooksense U_COMP and U_COMP2 -- the thermal-threshold comparators. Measured 2026-07-26 against JLC's SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL with the pcbnew-verified operator, our side Package_SO:SOIC-8_3.9x4.9mm_P1.27mm. PAD-NUMBER fit: offset 270, rms 0.2351mm vs 4.1820mm next best (0/180 both 4.1820, 90 5.9096) = 17.8x; the residual is the 5.0-vs-4.9mm body-length difference between the two lands. DECLARED single-channel: the size-class channel is FULLY DEGENERATE (0.0000mm at all four angles) and the pad cloud is degenerate at 90/270, because a symmetric dual-row SOIC-8 maps onto itself under 180. NOTE this part REPLACED C67470 (LM393) in the v1.3 electrical revision -- the LM393 was not rail-to-rail and could not resolve the thermal threshold near ground; a stale C67470 row would resolve the wrong part. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C9683,270,"ULN2803A octal Darlington driver in SOIC-18; smc0985-cooksense U_ULNA -- the relay/contactor driver bank. Measured 2026-07-26 against JLC's SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.1500mm vs 8.1344mm next best (0/180 both 8.1344, 90 11.5027) = 54x. DECLARED single-channel: dual-row SOIC-18 is its own 180 reflection, pad cloud DEGENERATE at 90/270. NB the generic name-DB carries ^SOP-18_,0 which would resolve this part to 0 -- 270 degrees wrong -- so this row exists to displace that rule as well as to satisfy A-ROT. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C165895,270,"TBD62083AFWG octal DMOS transistor array in SOIC-18-300mil; smc0985-cooksense U_ULNA and U_ULNB -- the relay coil driver bank, which supersedes the ULN2803A (C9683) per ADR-0023 because the Darlington saturation drop of 0.67-0.88 V at the 7 mA coil put the reed pull-in margin NEGATIVE at 45.7 C, inside the board's own declared <=50 C normal envelope. Measured 2026-07-29 by RUNNING jlc_rotation_measure.py on the cooksense board against JLC's cached SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.1500mm vs 8.1344mm next best (0/180 both 8.1344, 90 11.5027) = 54x. The figures agree with the C9683 row above because the land outline is the identical SOIC-18 body; that agreement is a CROSS-CHECK on this measurement and is not where the number came from. DECLARED single-channel: dual-row SOIC-18 is its own 180 reflection, the pad cloud is DEGENERATE at 90/270 (both 0.1500), and PIN-1-MARK proposes 270 but tracks pad NUMBERING so it is not an independent channel. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C558584,270,"MCP23017T-E/SS I2C GPIO expander in SSOP-28; smc0985-cooksense U_EXP. One device under two order codes: DS20001952C's PRODUCT IDENTIFICATION SYSTEM lists (f) MCP23017-E/SS and (g) MCP23017T-E/SS, the T being the tape-and-reel identifier only, so it is pin- and register-identical rather than a substitute. Re-coded because C506653 read ZERO LCSC stock on 2026-07-29 having read 56/56 the session before. Measured 2026-07-29 by RUNNING jlc_rotation_measure.py on the cooksense board against JLC's cached SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL with the pcbnew-verified operator; one device under two codes is a reason to EXPECT agreement, not a licence to skip the measurement, so the tool was run for this code. PAD-NUMBER fit: offset 270, rms 0.0403mm vs 6.1624mm next best (0/180 both 6.1624, 90 8.7149) = 153x. DECLARED single-channel: dual-row SSOP-28 is its own 180 reflection, pad cloud DEGENERATE at 90/270, pin-1 marking not admissible. Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE.",single-channel
C2480,0,"SMA-package diode (POLARIZED, 2-pad); crow-mic-pod-v2 D2, board pad-1 net 5V_BEEP. Measured 2026-07-26 BY HAND from the raw footprints against JLC's SMA_L4.2-W2.6-LS5.0-RD_1 -- a DIFFERENT method from jlc_rotation_measure.py (canon M1). PAD-NUMBER fit: offset 0, rms 0.040mm vs 2.80mm next best (70x). The pad CLOUD is DEGENERATE (two identical pads), so the CATHODE MARK read as a SHAPE is what carries this row. JLC draws a COMPLETE diode symbol in F.SilkS: the lead line runs x=-0.72..+0.75, the triangle has its BASE at x=+0.25 and its APEX at x=-0.25, and the cathode BAR is the full-height segment at x=-0.25 -- a diode triangle POINTS AT ITS CATHODE, so their cathode is the -x end, confirmed by pad 1 at x=-1.96 and the pin-1 dot at (-2.63,+1.30). OURS Diode_SMD:D_SMA: pad 1 at x=-2.000, F.SilkS bracket closed edge at x=-3.510, F.Fab cathode bar at x=-0.649 with the triangle apex at -x. BOTH LIBRARIES DRAW THE CATHODE WEST => the physical parts already align => offset 0, and the pad-number fit AGREES. Cross-checked against two other boards using the same JLC SMA land family: crow-recorder-central-v2 C87074 and smc0985-cooksense C8678, both measured pad 1 = cathode at -x, both offset 0.",two-channel
C559105,0,"SMA-package diode (POLARIZED, 2-pad); crow-mic-pod-v2 D3. Measured 2026-07-26 BY HAND against JLC's SMA_L4.4-W2.6-LS5.0-RD. PAD-NUMBER fit: offset 0, rms 0.190mm vs 2.97mm next best (16x); the residual is the pad-pitch difference between our land and JLC's, not a fit error. Pad CLOUD DEGENERATE (two identical pads), so the CATHODE MARK decides. JLC: F.SilkS cathode band is the full-height segment at x=-1.200 (y -1.40..+1.40), PLUS two FILLED silk polygons spanning x=-2.650..-3.107 flanking the pad-1 end, plus the pin-1 dot at (-2.55,+1.25); pad 1 at x=-2.190. Their cathode is the -x end on three independent marks. OURS Diode_SMD:D_SMA is cathode -x (bracket edge -3.510, F.Fab bar -0.649, apex -x). BOTH WEST => offset 0, pad-number fit AGREES. Same JLC SMA land family as C2480/C87074/C8678, all four measured to the same convention.",two-channel
C192421,270,"SOIC-8 part; crow-mic-pod-v2 U1. Measured 2026-07-26 against JLC's SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL. PAD-NUMBER fit: offset 270, rms 0.235mm vs 4.18mm next best (17.8x). VERIFIED INDEPENDENTLY BY LAND IDENTITY: this cached .kicad_mod diffs BYTE-IDENTICAL (apart from the LCSC property and the model path) to the one already measured at 270 for smc0985-cooksense C7984, a different part on a different board -- two boards, two codes, one land, one answer. DECLARED single-channel: a dual-row SOIC-8 is its own 180 reflection so the pad cloud is degenerate, and no FUNCTION-TIED mark exists on an SOIC-8 (the pin-1 dot FOLLOWS pad numbering and is therefore not admissible as a numbering-free channel). Per RULE 3 this row MUST pass the JLC ORDER-PREVIEW HUMAN GATE. RECORDED CONFLICT, resolved: jlc_twin's fitted jlc_offset reports 90 where this fit and the name-DB both say 270. 90 and 270 are EXACTLY 180 APART, which is the precise signature of the rotation-handedness bug (formB(a) == formA(-a): invisible at 0/180, exactly 180deg wrong at 90/270) that negated every jlc_twin offset and put six rows of this table 180 out (e0d735c, 1b69760). It is not a near-miss to be split: 90 sits 4.18mm away in the fit and is excluded. The twin is the outlier; 270 stands, and the board's existing twin adjudication had already reached the same conclusion.",single-channel
C22359707,0,"PUI/CMT magnetic buzzer in BUZ-SMD 4P 8.5x8.5mm (POLARIZED); crow-mic-pod-v2 LS1. Measured 2026-07-26 against JLC's BUZ-SMD_4P-L8.5-W8.5-P8.50-TL-A. The ELECTRICAL pads align exactly at offset 0: JLC pad 1 (-3.60,-3.60) and pad 2 (-3.60,+3.60) against our crow_mic_pod:CMT-8504-100-SMT-TR pad 1 (-3.50,-3.50) and pad 2 (-3.50,+3.50). NOTE the pad-NUMBER fit is INFLATED and must not be read as a margin: JLC numbers the two MECHANICAL pads 3=(+3.60,+3.60) 4=(+3.60,-3.60) while ours are 3=(+3.50,-3.50) 4=(+3.50,+3.50) -- the libraries number them OPPOSITE ways. Both are NC/mechanical so it is electrically moot, but it is exactly the class a pad-NUMBER fit cannot see (cf. C3020560, where JLC numbers the USB-C SHELL POSTS 1-4 while our pads 1-4 are signal contacts). NUMBERING-FREE CHANNEL, and it is a FUNCTION-TIED one: BOTH libraries mark the POSITIVE terminal with a '+' on the -x/-y side -- JLC's at (-2.50,-1.00) and ours at (-5.60,-3.50), each adjacent to its own pad 1. A '+' on a buzzer denotes polarity and does NOT follow pad numbering, so it decides the question the numbers cannot. Both marks agree => offset 0. UPGRADED from the measuring agent's proposed 'single-channel, only a pin-1 dot, no + mark in the model': the '+' IS in the model, but as an `fp_text user` rather than a graphic, so a geometry-only scan does not see it. THIRD instance of that class in this table -- cf. C2762192, where the tool read only LINE-segment F.Fab outlines and missed a POLYGON chamfer, a tool gap that reads exactly like a part fact. This row therefore does NOT require the order-preview human gate.",two-channel
C485354,180,"JST ZH S4B-ZR-SM4A-TF 4-pin 1.50mm SIDE-ENTRY housing; smc0985-cooksense J_MODE (3V3 / MODE_RAW / KEY_RELAY_ALLOWED / COIL_EN_IN -- the mode selector that ARMS the contactor). Measured 2026-07-28. RE-DERIVED INDEPENDENTLY of jlc_rotation_measure.py (canon M1): both footprints parsed as TEXT, no pcbnew, own operator, own channels. PAD-NUMBER fit: offset 180, rms 0.0000mm EXACT vs 2.3717mm next best over 4 pads -- all four contacts coincide after a pure (0.0000,+0.1300)mm translation. NUMBERING-FREE (pad groups paired by CARDINALITY alone, no number/net/refdes read): the contact-row -> mounting-tab VECTOR is (0.0000,+3.7000)mm on our land and (0.0000,-3.5500)mm on JLC's -- the tab row is on the OPPOSITE side of the contacts in the two frames, so only 180 lands it on our tab side: |err| 0.1500mm vs 5.1276mm next best = 34.2x, and the 0.1500mm IS JLC's model allowance, not our footprint. THIRD channel, pin-1 mark (our F.Fab chamfer vs JLC's silk dot, both in the footprint-LOCAL frame): 180 at 1.2983mm vs 4.5551mm next = 3.5x. All three agree. board_rot 90 => correct CPL 270.0. THE RECORDED DISSENT IS RESOLVED AND WAS A TOOL ARTEFACT: jlc_rotation_measure.py read our F.Fab marks in the BOARD frame and JLC's in the LOCAL frame, so its PIN-1-MARK channel was exactly board_rot out of step and named 270; fixed 2026-07-28, and the post-fix channel is the pre-fix one cyclically shifted by 90 with an IDENTICAL value multiset (0.9463 / 4.5977 / 5.2174 / 6.9065), which is what proves it was a rotation of one measurement and not a different one. HUMAN GATE ANYWAY: this housing's contact array is near-symmetric about its own centre, so a 180 error SOLDERS PERFECTLY and reverses the harness -- interposer v1.0's exact failure. J_MODE goes on the JLC order-preview human gate before first order.",two-channel
C2286,0,"Indicator LED 0603 (POLARIZED); pluto-rx2-8way-v2 LED_ST. Measured 2026-07-30 BY HAND from the raw .kicad_mod text of both lands -- own parser, own operator, no pcbnew and no import of jlc_rotation_measure.py, which WITHHELD this code (canon M1). THE PAD-NUMBER FIT IS CONFIDENTLY WRONG HERE AND THE CHANNELS DISAGREE: it returns 180 at rms 0.0375mm vs 1.0875mm next best (29x) purely because the two libraries number the terminals oppositely -- our KiCad LED_SMD:LED_0603_1608Metric puts pad 1 at x=-0.7875 (WEST) while JLC's LED-SMD_L1.6-W0.8-R-RD puts pad 1 at x=+0.7500 (EAST). The PAD CLOUD is DEGENERATE: rms 0.0375mm at BOTH 0 and 180, and 1.0875mm at 90/270, because a 2-pad chip land is its own 180 reflection (measured: each land's own pad set maps onto itself at 180). Geometry therefore admits {0,180} and only a polarity mark can choose between them. NUMBERING-FREE CHANNEL, marks read as SHAPES. OURS: the F.SilkS bracket's closed full-height edge is at x=-1.485 and the F.Fab body chamfer cuts the (-0.800,-0.400) corner, both on the -x end; and the BOARD says the same thing without reading any drawing, because LED_ST pad 1 is on GND while pad 2 is on LED_STAT_A -- our pad 1 IS the cathode (KiCad Device:LED pin 1 = K). JLC: their land carries TWO DISTINCT asymmetric marks at OPPOSITE ends -- a pin-1 DOT (F.SilkS circle r=0.050 at (+0.80,-0.40), beside their pad 1 at x=+0.75) and a CHAMFERED silk bracket at the far -x end (corners (-1.40,-0.70)->(-1.70,-0.40) and (-1.70,+0.40)->(-1.40,+0.70)). A pin-1 dot already marks pin 1, so the chamfer marks the other thing an LED land has to mark, the CATHODE; and their diode glyph corroborates it with no pad number read, the full-height cathode BAR sitting at x=+0.090 with its lead running WEST to x=-0.120. So JLC's cathode is the -x end = THEIR PAD 2, i.e. JLC numbers pad 1 = ANODE. BOTH LIBRARIES DRAW THE CATHODE WEST => the physical parts already align => offset 0. THE TWIN'S ROT-DB-SUGGEST LINE PROPOSING 'add LCSC row C2286,180' IS WRONG, and it is recorded here because a machine proposal that would brick a board is exactly what this row exists to document. That line reports the fitted jlc_offset, which on this part measures a LABELLING difference and not a geometric one; the twin's own POLARITY-FIT line in the SAME report file says the marking channel disagrees by 180 and that offset 0 is what places the part correctly, so one artifact states both answers and only the wrong one is phrased as a paste-ready row. A 180 row would seat every unit with its cathode east onto a west cathode pad: reverse-biased, dark, and indistinguishable from a bad solder joint -- the C2296/C2297 outcome, on the only status indicator this board has. Because the two channels disagreed, LED_ST goes on the JLC ORDER-PREVIEW human gate before the first order.",two-channel
